Wavelength,Intensity
345.532,-1131.6666666666667
345.749,-1131.6666666666667
345.966,-1131.6666666666667
346.184,-2125.0
346.401,-469.99999999999994
346.618,-1241.6666666666667
346.836,-450.0
347.053,-1046.6666666666667
347.27,485.0
347.487,-551.6666666666666
347.705,773.3333333333333
347.922,-503.3333333333333
348.139,400.0
348.356,-578.3333333333334
348.574,744.9999999999999
348.791,1318.3333333333333
349.008,650.0
349.225,-228.33333333333334
349.442,17450.0
349.659,27970.0
349.877,29993.333333333336
350.094,28478.333333333332
350.311,28833.333333333332
350.528,29454.999999999996
350.745,30400.0
350.962,29611.666666666664
351.179,30161.666666666664
351.396,31595.0
351.613,31286.666666666664
351.83,31243.333333333336
352.047,32806.666666666664
352.264,31829.999999999996
352.481,32116.666666666664
352.698,34673.33333333333
352.915,34136.666666666664
353.132,33038.33333333333
353.349,33785.0
353.566,34510.0
353.783,35373.333333333336
354.0,34813.33333333333
354.217,34693.33333333333
354.433,36360.0
354.65,37181.666666666664
354.867,35813.33333333333
355.084,37568.33333333333
355.301,36731.666666666664
355.518,38318.33333333333
355.735,37656.666666666664
355.951,37471.66666666667
356.168,38956.666666666664
356.385,39125.0
356.602,39646.666666666664
356.818,39415.0
357.035,39185.0
357.252,41698.33333333333
357.469,40336.666666666664
357.685,42555.0
357.902,41540.0
358.119,43315.0
358.335,42370.0
358.552,44186.666666666664
358.769,45093.333333333336
358.985,45050.0
359.202,43831.666666666664
359.419,46958.333333333336
359.635,46121.66666666667
359.852,45538.333333333336
360.068,47453.333333333336
360.285,49046.666666666664
360.501,48073.33333333333
360.718,48646.666666666664
360.934,49825.0
361.151,50125.0
361.367,49801.666666666664
361.584,52149.99999999999
361.8,52378.33333333333
362.017,52388.33333333333
362.233,52651.66666666667
362.45,54511.666666666664
362.666,52463.33333333333
362.883,55641.66666666667
363.099,54460.0
363.315,56453.333333333336
363.532,56333.333333333336
363.748,57476.666666666664
363.965,57788.333333333336
364.181,59133.333333333336
364.397,58616.666666666664
364.614,58993.33333333333
364.83,60774.99999999999
365.046,62033.33333333333
365.262,62543.33333333333
365.479,64048.333333333336
365.695,63658.33333333333
365.911,66810.0
366.128,63850.0
366.344,66211.66666666666
366.56,65003.33333333333
366.776,66935.0
366.992,68150.0
367.209,68120.0
367.425,69116.66666666666
367.641,72488.33333333333
367.857,71143.33333333333
368.073,73396.66666666667
368.289,72986.66666666667
368.505,73413.33333333333
368.722,75441.66666666666
368.938,75878.33333333333
369.154,74751.66666666666
369.37,78028.33333333333
369.586,76346.66666666666
369.802,79496.66666666667
370.018,80825.0
370.234,79728.33333333333
370.45,79920.0
370.666,84646.66666666666
370.882,82548.33333333333
371.098,84076.66666666666
371.314,83196.66666666667
371.53,86148.33333333333
371.746,87203.33333333334
371.962,89150.0
372.178,88743.33333333334
372.393,91505.0
372.609,90128.33333333333
372.825,92426.66666666666
373.041,90565.0
373.257,94763.33333333334
373.473,95351.66666666667
373.689,96293.33333333333
373.904,96176.66666666666
374.12,97996.66666666667
374.336,99484.99999999999
374.552,101983.33333333333
374.767,101365.0
374.983,100938.33333333333
375.199,104214.99999999999
375.415,104666.66666666667
375.63,105256.66666666666
375.846,108765.0
376.062,107758.33333333333
376.278,108376.66666666666
376.493,110069.99999999999
376.709,112243.33333333334
376.925,114154.99999999999
377.14,114311.66666666667
377.356,117145.0
377.571,115588.33333333333
377.787,118203.33333333333
378.003,119585.0
378.218,117476.66666666667
378.434,124521.66666666666
378.649,121821.66666666666
378.865,124880.0
379.08,126636.66666666667
379.296,129043.33333333333
379.511,128821.66666666666
379.727,129180.0
379.942,132248.33333333334
380.158,134016.66666666666
380.373,134665.0
380.589,135531.6666666667
380.804,138378.3333333333
381.02,139078.33333333334
381.235,141908.33333333334
381.45,141716.66666666666
381.666,143788.33333333334
381.881,145061.66666666666
382.096,151035.0
382.312,147420.0
382.527,149048.3333333333
382.742,151100.0
382.958,151823.33333333334
383.173,155851.66666666666
383.388,153676.66666666666
383.604,155435.0
383.819,157466.66666666666
384.034,163098.33333333334
384.249,162190.0
384.465,164685.0
384.68,166473.33333333334
384.895,169498.33333333334
385.11,171065.0
385.325,171115.0
385.541,170613.3333333333
385.756,172091.66666666666
385.971,175260.0
386.186,177436.66666666666
386.401,179085.0
386.616,183096.66666666666
386.831,184448.33333333334
387.046,183581.66666666666
387.261,182543.3333333333
387.477,193741.66666666666
387.692,188288.33333333334
387.907,193530.0
388.122,192929.99999999997
388.337,197014.99999999997
388.552,196026.6666666667
388.767,197223.3333333333
388.982,197050.0
389.197,200991.66666666666
389.411,198831.66666666666
389.626,205934.99999999997
389.841,206463.3333333333
390.056,206775.0
390.271,211726.66666666666
390.486,210690.0
390.701,213365.0
390.916,214075.0
391.131,217628.3333333333
391.345,214000.0
391.56,218215.0
391.775,220638.3333333333
391.99,221478.3333333333
392.205,217996.66666666666
392.42,225001.66666666666
392.634,232920.0
392.849,229530.0
393.064,231724.99999999997
393.279,236743.33333333334
393.493,235675.0
393.708,233326.66666666666
393.923,235613.33333333334
394.137,241576.66666666666
394.352,241030.0
394.567,240480.0
394.781,250528.33333333334
394.996,244760.0
395.211,261776.6666666667
395.425,246644.99999999997
395.64,259783.33333333334
395.854,258025.0
396.069,255846.66666666666
396.284,259813.33333333334
396.498,262898.3333333334
396.713,256566.6666666667
396.927,269678.3333333333
397.142,263575.0
397.356,273783.3333333333
397.571,265878.3333333333
397.785,277893.3333333333
398.0,278460.0
398.214,276920.0
398.428,274538.3333333333
398.643,289221.6666666666
398.857,277421.6666666666
399.072,289863.3333333333
399.286,285055.0
399.5,287270.0
399.715,286696.6666666667
399.929,296256.6666666666
400.144,296328.3333333333
400.358,301510.0
400.572,308476.6666666666
400.787,304138.3333333333
401.001,308040.0
401.215,317361.6666666667
401.429,304111.6666666667
401.644,307750.0
401.858,317013.3333333333
402.072,320290.0
402.286,320026.6666666667
402.501,330816.6666666667
402.715,330103.3333333333
402.929,331498.3333333333
403.143,330803.3333333333
403.357,333220.0
403.571,329983.3333333333
403.786,343738.3333333333
404.0,342175.0
404.214,343994.99999999994
404.428,348965.0
404.642,342643.3333333334
404.856,357068.3333333333
405.07,353490.0
405.284,367471.6666666666
405.498,354081.6666666666
405.712,364296.6666666667
405.926,364699.99999999994
406.14,369315.0
406.354,371810.0
406.568,367980.0
406.782,378046.6666666667
406.996,378373.3333333333
407.21,384923.3333333333
407.424,386036.6666666666
407.638,389873.3333333333
407.852,393268.3333333334
408.066,384388.3333333333
408.28,386538.3333333333
408.493,401888.3333333333
408.707,397406.6666666667
408.921,413336.6666666666
409.135,411341.6666666667
409.349,406494.99999999994
409.563,415421.6666666667
409.776,425046.6666666667
409.99,416806.6666666667
410.204,421516.6666666666
410.418,422163.3333333333
410.631,427026.6666666666
410.845,425838.3333333334
411.059,428033.3333333333
411.273,439885.0
411.486,435833.3333333333
411.7,446106.6666666666
411.914,437931.6666666667
412.127,453199.99999999994
412.341,451683.3333333333
412.555,442240.0
412.768,451523.3333333333
412.982,448936.6666666666
413.195,461156.6666666667
413.409,458323.3333333333
413.623,469596.6666666666
413.836,461176.6666666666
414.05,481151.6666666666
414.263,474680.0
414.477,482758.3333333334
414.69,483438.3333333333
414.904,473638.3333333333
415.117,487663.3333333333
415.331,499053.3333333334
415.544,491060.0
415.758,493548.3333333333
415.971,494616.6666666666
416.185,498626.6666666667
416.398,519201.6666666667
416.611,502231.6666666666
416.825,505935.0
417.038,512126.6666666667
417.251,521618.3333333333
417.465,520021.6666666667
417.678,525096.6666666666
417.891,518233.3333333333
418.105,519126.6666666667
418.318,533998.3333333333
418.531,532691.6666666666
418.745,537281.6666666666
418.958,536613.3333333333
419.171,541483.3333333334
419.384,552505.0
419.598,547453.3333333333
419.811,560553.3333333334
420.024,554885.0
420.237,567115.0
420.45,574446.6666666666
420.664,566888.3333333333
420.877,567538.3333333334
421.09,578163.3333333334
421.303,574825.0
421.516,590028.3333333334
421.729,577968.3333333333
421.942,590355.0
422.155,587645.0
422.368,607206.6666666666
422.582,592201.6666666666
422.795,590556.6666666666
423.008,601565.0
423.221,604210.0
423.434,611415.0
423.647,606186.6666666666
423.86,608015.0
424.073,643783.3333333333
424.286,618433.3333333333
424.498,636438.3333333334
424.711,632858.3333333334
424.924,637673.3333333334
425.137,640486.6666666666
425.35,655573.3333333334
425.563,662928.3333333334
425.776,653501.6666666667
425.989,653251.6666666667
426.202,667133.3333333334
426.414,684226.6666666666
426.627,672066.6666666666
426.84,702778.3333333334
427.053,690770.0
427.266,695391.6666666667
427.478,692706.6666666666
427.691,699713.3333333333
427.904,703523.3333333334
428.117,733191.6666666666
428.329,722715.0
428.542,710670.0
428.755,722001.6666666667
428.967,721698.3333333333
429.18,735801.6666666667
429.393,760271.6666666666
429.605,742820.0
429.818,758121.6666666666
430.031,743980.0
430.243,745416.6666666666
430.456,784138.3333333333
430.668,779885.0
430.881,776550.0
431.094,764521.6666666666
431.306,791746.6666666666
431.519,802743.3333333334
431.731,794128.3333333334
431.944,790458.3333333334
432.156,795661.6666666667
432.369,829239.9999999999
432.581,829438.3333333334
432.794,849038.3333333333
433.006,825461.6666666667
433.218,842375.0
433.431,827250.0
433.643,836821.6666666667
433.856,860985.0
434.068,852175.0
434.28,863118.3333333334
434.493,851989.9999999999
434.705,856930.0
434.918,894413.3333333333
435.13,872316.6666666666
435.342,876056.6666666666
435.554,898035.0
435.767,904398.3333333334
435.979,918228.3333333333
436.191,917381.6666666666
436.404,919546.6666666666
436.616,952329.9999999999
436.828,937325.0
437.04,908343.3333333334
437.252,953495.0
437.465,922013.3333333333
437.677,940629.9999999999
437.889,977230.0
438.101,936493.3333333334
438.313,953085.0
438.525,975340.0
438.737,954309.9999999999
438.949,968123.3333333333
439.162,962178.3333333333
439.374,982513.3333333333
439.586,993853.3333333333
439.798,974623.3333333333
440.01,1016626.6666666666
440.222,977773.3333333334
440.434,1026033.3333333333
440.646,1013090.0
440.858,1002806.6666666666
441.07,1020828.3333333334
441.282,1026551.6666666667
441.494,1042631.6666666666
441.706,1046356.6666666667
441.918,1017425.0
442.129,1044103.3333333333
442.341,1024489.9999999999
442.553,1038731.6666666667
442.765,1069463.3333333333
442.977,1064521.6666666667
443.189,1040071.6666666667
443.401,1064043.3333333333
443.612,1056728.3333333333
443.824,1095675.0
444.036,1109563.3333333333
444.248,1089551.6666666667
444.46,1096525.0
444.671,1086203.3333333333
444.883,1094606.6666666667
445.095,1091968.3333333335
445.307,1080915.0
445.518,1118995.0
445.73,1111303.3333333333
445.942,1113598.3333333333
446.153,1119445.0
446.365,1128653.3333333333
446.577,1112031.6666666665
446.788,1116530.0
447.0,1127968.3333333335
447.212,1167431.6666666667
447.423,1125046.6666666665
447.635,1156571.6666666667
447.846,1124220.0
448.058,1181908.3333333333
448.269,1142201.6666666667
448.481,1159660.0
448.692,1157455.0
448.904,1187791.6666666667
449.115,1166790.0
449.327,1181023.3333333333
449.538,1188866.6666666665
449.75,1196543.3333333333
449.961,1213071.6666666667
450.173,1196643.3333333333
450.384,1186055.0
