Wavelength,Intensity
345.532,-1546.6666666666665
345.749,-1546.6666666666665
345.966,-1546.6666666666665
346.184,-1608.3333333333333
346.401,-1000.0
346.618,-686.6666666666666
346.836,573.3333333333333
347.053,-365.0
347.27,-468.3333333333333
347.487,286.66666666666663
347.705,1009.9999999999999
347.922,-830.0
348.139,746.6666666666667
348.356,-1471.6666666666667
348.574,508.3333333333333
348.791,338.3333333333333
349.008,358.3333333333333
349.225,-55.0
349.442,17311.666666666668
349.659,24551.666666666668
349.877,26098.333333333332
350.094,25783.333333333332
350.311,26913.333333333332
350.528,25951.666666666668
350.745,27665.0
350.962,25851.666666666668
351.179,26770.0
351.396,26564.999999999996
351.613,27571.666666666668
351.83,27449.999999999996
352.047,29470.0
352.264,28571.666666666668
352.481,28643.333333333336
352.698,29425.0
352.915,29665.0
353.132,29951.666666666668
353.349,29248.333333333336
353.566,29773.333333333332
353.783,30470.0
354.0,30643.333333333336
354.217,30711.666666666668
354.433,32880.0
354.65,33665.0
354.867,32193.333333333332
355.084,33626.666666666664
355.301,31968.333333333332
355.518,32709.999999999996
355.735,33405.0
355.951,34453.333333333336
356.168,33913.33333333333
356.385,34053.33333333333
356.602,35685.0
356.818,35760.0
357.035,35205.0
357.252,37443.33333333333
357.469,36115.0
357.685,36586.666666666664
357.902,37401.666666666664
358.119,36951.666666666664
358.335,37976.66666666667
358.552,38098.333333333336
358.769,39071.666666666664
358.985,39180.0
359.202,39300.0
359.419,42103.333333333336
359.635,40830.0
359.852,40935.0
360.068,42283.33333333333
360.285,42928.33333333333
360.501,42745.00000000001
360.718,43078.333333333336
360.934,44669.99999999999
361.151,42895.0
361.367,44003.33333333333
361.584,46445.0
361.8,44996.66666666667
362.017,44748.333333333336
362.233,46178.33333333333
362.45,47813.33333333333
362.666,46523.33333333333
362.883,46536.66666666667
363.099,46973.33333333333
363.315,49233.33333333333
363.532,49973.33333333333
363.748,49263.33333333333
363.965,48649.99999999999
364.181,48631.66666666667
364.397,49868.33333333333
364.614,50891.66666666667
364.83,50216.666666666664
365.046,53158.33333333333
365.262,52878.33333333333
365.479,53546.666666666664
365.695,53070.0
365.911,57158.33333333333
366.128,53523.33333333333
366.344,57250.0
366.56,55558.333333333336
366.776,56595.0
366.992,55581.666666666664
367.209,58571.666666666664
367.425,57841.666666666664
367.641,59568.333333333336
367.857,58831.666666666664
368.073,61639.99999999999
368.289,59885.0
368.505,60731.666666666664
368.722,62831.666666666664
368.938,62606.666666666664
369.154,61831.666666666664
369.37,64346.666666666664
369.586,63340.0
369.802,65926.66666666667
370.018,66206.66666666667
370.234,66486.66666666667
370.45,66166.66666666667
370.666,69200.0
370.882,66190.0
371.098,67903.33333333333
